sample_accession,Cohort,Tissue,Sub_Tissue,Age,Source,Source_details,Comment,Origin,Age_Days,Kept,study_title,study_abstract,run_accession,study_accession,region,Sample_comment,sample_attribute,BioSample,Library_Notes
SRS9761693,Eye,RPE,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431760,SRP273695,Peripheral,RPE/Choroid - Peripheral,NA,NA,NA
SRS9761694,Eye,Retina,Macula,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431761,SRP273695,Macula,Retina - Macula,NA,NA,NA
SRS9761695,Eye,Retina,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431762,SRP273695,Peripheral,Retina - Peripheral,NA,NA,NA
SRS9761698,Eye,RPE,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431764,SRP273695,Peripheral,RPE/Choroid - Peripheral,NA,NA,NA
SRS9761697,Eye,Retina,Macula,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431765,SRP273695,Macula,Retina - Macula,NA,NA,NA
SRS9761699,Eye,Retina,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431766,SRP273695,Peripheral,Retina - Peripheral,NA,NA,NA
SRS9761700,Eye,RPE,Macula,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431767,SRP273695,Macula,RPE/Choroid - Macula,NA,NA,NA
SRS9761705,Eye,RPE,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431768,SRP273695,Peripheral,RPE/Choroid - Peripheral,NA,NA,NA
SRS9761701,Eye,Retina,Macula,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431769,SRP273695,Macula,Retina - Macula,NA,NA,NA
SRS9761702,Eye,Retina,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431770,SRP273695,Peripheral,Retina - Peripheral,NA,NA,NA
SRS9761703,Eye,RPE,Macula,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431771,SRP273695,Macula,RPE/Choroid - Macula,NA,NA,NA
SRS9761704,Eye,RPE,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431772,SRP273695,Peripheral,RPE/Choroid - Peripheral,NA,NA,NA
SRS9761706,Eye,Retina,Macula,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431773,SRP273695,Macula,Retina - Macula,NA,NA,NA
SRS9761707,Eye,Retina,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431774,SRP273695,Peripheral,Retina - Peripheral,NA,NA,NA
SRS9761709,Eye,RPE,Peripheral,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431776,SRP273695,Peripheral,RPE/Choroid - Peripheral,NA,NA,NA
SRS9761696,Eye,RPE,Macula,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431763,SRP273695,Macula,RPE/Choroid - Macula,NA,NA,NA
SRS9761708,Eye,RPE,Macula,Adult,Native,NA,NA,Adult Tissue,.,Kept,Implication of specific retinal cell-type involvement and gene expression changes in AMD progression using integrative analysis of single-cell and bulk RNA-seq profiling,"Age‐related macular degeneration (AMD) is a blinding eye disease with no unifying theme for its etiology. We used single-cell RNA sequencing to analyze the transcriptomes of ~93,000 cells from the macula and peripheral retina from two adult human donors and bulk RNA sequencing from fifteen adult human donors with and without AMD. Analysis of our single-cell data identified 267 cell-type-specific genes. Comparison of macula and peripheral retinal regions found no cell-type differences but did identify 50 differentially expressed genes (DEGs) with about 1/3 expressed in cones. Integration of our single-cell data with bulk RNA sequencing data from normal and AMD donors showed compositional changes more pronounced in macula in rods, microglia, endothelium, Müller glia, and astrocytes in the transition from normal to advanced AMD. KEGG pathway analysis of our normal vs. advanced AMD eyes identified enrichment in complement and coagulation pathways, antigen presentation, tissue remodeling, and signaling pathways including PI3K-Akt, NOD-like, Toll-like, and Rap1. These results showcase the use of single-cell RNA sequencing to infer cell-type compositional and cell-type-specific gene expression changes in intact bulk tissue and provide a foundation for investigating molecular mechanisms of retinal disease that lead to new therapeutic targets.",SRR15431775,SRP273695,Macula,RPE/Choroid - Macula,NA,NA,NA
SRS7512844,Eye,RPE,NA,Adult,Native,NA,NA,Adult Tissue,.,high_intron_percentage,RNA‐seq analysis of ageing human retinal pigment epithelium: Unexpected up‐regulation of visual cycle gene transcription,"Ageing presents adverse effects on the retina and is the primary risk factor for age‐related macular degeneration (AMD). We report the first RNA‐seq analysis of age‐related transcriptional changes in the human retinal pigment epithelium (RPE), the primary site of AMD pathogenesis. Whole transcriptome sequencing of RPE from human donors ranging in age from 31 to 93 reveals that ageing is associated with increasing transcription of main RPE‐associated visual cycle genes (including LRAT, RPE65, RDH5, RDH10, RDH11; pathway enrichment BH‐adjusted P = 4.6 × 10−6). This positive correlation is replicated in an independent set of 28 donors and a microarray dataset of 50 donors previously published. LRAT expression is positively regulated by retinoid by‐products of the visual cycle (A2E and all‐trans‐retinal) involving modulation by retinoic acid receptor alpha transcription factor. The results substantiate a novel age‐related positive feedback mechanism between accumulation of retinoid by‐products in the RPE and the up‐regulation of visual cycle genes.",SRR12817261,SRP287234,NA,RPE - Adult Tissue,NA,NA,NA
SRS7512845,Eye,RPE,NA,Adult,Native,NA,NA,Adult Tissue,.,high_intron_percentage,RNA‐seq analysis of ageing human retinal pigment epithelium: Unexpected up‐regulation of visual cycle gene transcription,"Ageing presents adverse effects on the retina and is the primary risk factor for age‐related macular degeneration (AMD). We report the first RNA‐seq analysis of age‐related transcriptional changes in the human retinal pigment epithelium (RPE), the primary site of AMD pathogenesis. Whole transcriptome sequencing of RPE from human donors ranging in age from 31 to 93 reveals that ageing is associated with increasing transcription of main RPE‐associated visual cycle genes (including LRAT, RPE65, RDH5, RDH10, RDH11; pathway enrichment BH‐adjusted P = 4.6 × 10−6). This positive correlation is replicated in an independent set of 28 donors and a microarray dataset of 50 donors previously published. LRAT expression is positively regulated by retinoid by‐products of the visual cycle (A2E and all‐trans‐retinal) involving modulation by retinoic acid receptor alpha transcription factor. The results substantiate a novel age‐related positive feedback mechanism between accumulation of retinoid by‐products in the RPE and the up‐regulation of visual cycle genes.",SRR12817262,SRP287234,NA,RPE - Adult Tissue,NA,NA,NA
SRS7512846,Eye,RPE,NA,Adult,Native,NA,NA,Adult Tissue,.,high_intron_percentage,RNA‐seq analysis of ageing human retinal pigment epithelium: Unexpected up‐regulation of visual cycle gene transcription,"Ageing presents adverse effects on the retina and is the primary risk factor for age‐related macular degeneration (AMD). We report the first RNA‐seq analysis of age‐related transcriptional changes in the human retinal pigment epithelium (RPE), the primary site of AMD pathogenesis. Whole transcriptome sequencing of RPE from human donors ranging in age from 31 to 93 reveals that ageing is associated with increasing transcription of main RPE‐associated visual cycle genes (including LRAT, RPE65, RDH5, RDH10, RDH11; pathway enrichment BH‐adjusted P = 4.6 × 10−6). This positive correlation is replicated in an independent set of 28 donors and a microarray dataset of 50 donors previously published. LRAT expression is positively regulated by retinoid by‐products of the visual cycle (A2E and all‐trans‐retinal) involving modulation by retinoic acid receptor alpha transcription factor. The results substantiate a novel age‐related positive feedback mechanism between accumulation of retinoid by‐products in the RPE and the up‐regulation of visual cycle genes.",SRR12817263,SRP287234,NA,RPE - Adult Tissue,NA,NA,NA
SRS7512847,Eye,RPE,NA,Adult,Native,NA,NA,Adult Tissue,.,Kept,RNA‐seq analysis of ageing human retinal pigment epithelium: Unexpected up‐regulation of visual cycle gene transcription,"Ageing presents adverse effects on the retina and is the primary risk factor for age‐related macular degeneration (AMD). We report the first RNA‐seq analysis of age‐related transcriptional changes in the human retinal pigment epithelium (RPE), the primary site of AMD pathogenesis. Whole transcriptome sequencing of RPE from human donors ranging in age from 31 to 93 reveals that ageing is associated with increasing transcription of main RPE‐associated visual cycle genes (including LRAT, RPE65, RDH5, RDH10, RDH11; pathway enrichment BH‐adjusted P = 4.6 × 10−6). This positive correlation is replicated in an independent set of 28 donors and a microarray dataset of 50 donors previously published. LRAT expression is positively regulated by retinoid by‐products of the visual cycle (A2E and all‐trans‐retinal) involving modulation by retinoic acid receptor alpha transcription factor. The results substantiate a novel age‐related positive feedback mechanism between accumulation of retinoid by‐products in the RPE and the up‐regulation of visual cycle genes.",SRR12817264,SRP287234,NA,RPE - Adult Tissue,NA,NA,NA
SRS7512848,Eye,RPE,NA,Adult,Native,NA,NA,Adult Tissue,.,high_intron_percentage,RNA‐seq analysis of ageing human retinal pigment epithelium: Unexpected up‐regulation of visual cycle gene transcription,"Ageing presents adverse effects on the retina and is the primary risk factor for age‐related macular degeneration (AMD). We report the first RNA‐seq analysis of age‐related transcriptional changes in the human retinal pigment epithelium (RPE), the primary site of AMD pathogenesis. Whole transcriptome sequencing of RPE from human donors ranging in age from 31 to 93 reveals that ageing is associated with increasing transcription of main RPE‐associated visual cycle genes (including LRAT, RPE65, RDH5, RDH10, RDH11; pathway enrichment BH‐adjusted P = 4.6 × 10−6). This positive correlation is replicated in an independent set of 28 donors and a microarray dataset of 50 donors previously published. LRAT expression is positively regulated by retinoid by‐products of the visual cycle (A2E and all‐trans‐retinal) involving modulation by retinoic acid receptor alpha transcription factor. The results substantiate a novel age‐related positive feedback mechanism between accumulation of retinoid by‐products in the RPE and the up‐regulation of visual cycle genes.",SRR12817265,SRP287234,NA,RPE - Adult Tissue,NA,NA,NA
SRS7512849,Eye,RPE,NA,Adult,Native,NA,NA,Adult Tissue,.,Kept,RNA‐seq analysis of ageing human retinal pigment epithelium: Unexpected up‐regulation of visual cycle gene transcription,"Ageing presents adverse effects on the retina and is the primary risk factor for age‐related macular degeneration (AMD). We report the first RNA‐seq analysis of age‐related transcriptional changes in the human retinal pigment epithelium (RPE), the primary site of AMD pathogenesis. Whole transcriptome sequencing of RPE from human donors ranging in age from 31 to 93 reveals that ageing is associated with increasing transcription of main RPE‐associated visual cycle genes (including LRAT, RPE65, RDH5, RDH10, RDH11; pathway enrichment BH‐adjusted P = 4.6 × 10−6). This positive correlation is replicated in an independent set of 28 donors and a microarray dataset of 50 donors previously published. LRAT expression is positively regulated by retinoid by‐products of the visual cycle (A2E and all‐trans‐retinal) involving modulation by retinoic acid receptor alpha transcription factor. The results substantiate a novel age‐related positive feedback mechanism between accumulation of retinoid by‐products in the RPE and the up‐regulation of visual cycle genes.",SRR12817266,SRP287234,NA,RPE - Adult Tissue,NA,NA,NA
