sample_accession,Cohort,Tissue,Sub_Tissue,Age,Source,Source_details,Comment,Origin,Age_Days,Kept,study_title,,study_abstract,run_accession,study_accession,region,Sample_comment
SRS627700,Body,Brain,Frontal Cortex (BA9),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.131YS.0011.R10b.SM.5EQ5N.1,SRP012682,NA,Brain - Frontal Cortex (BA9)
SRS629970,Body,Brain,Substantia nigra,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13QJC.0011.R2b.SM.5PNUN.1,SRP012682,NA,Brain - Substantia nigra
SRS627774,Body,Brain,Amygdala,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13X6K.0011.R4b.SM.5P9HO.1,SRP012682,NA,Brain - Amygdala
SRS629712,Body,Brain,Amygdala,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13NYS.0011.R4b.SM.5MR3O.1,SRP012682,NA,Brain - Amygdala
SRS633738,Body,Brain,Putamen (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.ZVT3.0011.R7a.SM.57WCO.1,SRP012682,NA,Brain - Putamen (basal ganglia)
SRS627165,Body,Brain,Caudate (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.11UD1.0011.R5b.SM.5P9FP.1,SRP012682,NA,Brain - Caudate (basal ganglia)
SRS627715,Body,Brain,Frontal Cortex (BA9),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13JVG.0011.R10b.SM.5KM2P.1,SRP012682,NA,Brain - Frontal Cortex (BA9)
SRS625191,Body,Brain,Caudate (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13OW8.0011.R5b.SM.5L3FQ.1,SRP012682,NA,Brain - Caudate (basal ganglia)
SRS526135,Body,Brain,Putamen (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.X4XX.0011.R7A.SM.46MWR.1,SRP012682,NA,Brain - Putamen (basal ganglia)
SRS626224,Body,Brain,Frontal Cortex (BA9),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13X6K.0011.R10a.SM.5P9JR.1,SRP012682,NA,Brain - Frontal Cortex (BA9)
SRS625399,Body,Brain,Hippocampus,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13JUV.0011.R1a.SM.5LZY4.1,SRP012682,NA,Brain - Hippocampus
SRS625706,Body,Brain,Spinal cord (cervical c-1),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.YFC4.0011.R9a.SM.4SOK4.1,SRP012682,NA,Brain - Spinal cord (cervical c-1)
SRS625226,Body,Brain,Substantia nigra,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.12WSF.0011.R2a.SM.5DUVU.1,SRP012682,NA,Brain - Substantia nigra
SRS625628,Body,Brain,Cerebellar Hemisphere,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13S7M.0011.R11b.SM.5P9HU.1,SRP012682,NA,Brain - Cerebellar Hemisphere
SRS625189,Body,Brain,Hypothalamus,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13N1W.0011.R8a.SM.5MR56.1,SRP012682,NA,Brain - Hypothalamus
SRS625232,Body,Brain,Anterior cingulate cortex (BA24),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13PVQ.0011.R3b.SM.5O9D6.1,SRP012682,NA,Brain - Anterior cingulate cortex (BA24)
SRS625561,Body,Brain,Putamen (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13CF2.0011.R7b.SM.5K7UV.1,SRP012682,NA,Brain - Putamen (basal ganglia)
SRS625687,Body,Brain,Hippocampus,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13OVJ.0011.R1b.SM.5L3I6.1,SRP012682,NA,Brain - Hippocampus
SRS626617,Body,Brain,Cerebellum,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.ZAB4.2926.SM.57WCV.1,SRP012682,NA,Brain - Cerebellum
SRS625715,Body,Brain,Spinal cord (cervical c-1),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13S7M.0011.R9a.SM.5O9DW.1,SRP012682,NA,Brain - Spinal cord (cervical c-1)
SRS624521,Body,Brain,Putamen (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13O3Q.0011.R7a.SM.5KM38.1,SRP012682,NA,Brain - Putamen (basal ganglia)
SRS625684,Body,Brain,Nucleus accumbens (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.13S7M.0011.R6b.SM.5O9D8.1,SRP012682,NA,Brain - Nucleus accumbens (basal ganglia)
SRS626838,Body,Brain,Cortex,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.11OF3.2926.SM.5HL78.1,SRP012682,NA,Brain - Cortex
SRS624039,Body,Brain,Caudate (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.12WSM.0011.R5a.SM.5EQ4Y.1,SRP012682,NA,Brain - Caudate (basal ganglia)
SRS625465,Body,Brain,Hippocampus,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.14ASI.0011.R1b.SM.5S2TY.1,SRP012682,NA,Brain - Hippocampus
SRS625608,Body,Brain,Spinal cord (cervical c-1),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.131YS.0011.R9b.SM.5EQLY.1,SRP012682,NA,Brain - Spinal cord (cervical c-1)
SRS635167,Body,Brain,Putamen (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.145MI.0011.R7b.SM.5Q5AZ.1,SRP012682,NA,Brain - Putamen (basal ganglia)
SRS524900,Body,Brain,Frontal Cortex (BA9),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.WZTO.0011.R10B.SM.4E3KB.1,SRP012682,NA,Brain - Frontal Cortex (BA9)
SRS524517,Body,Brain,Nucleus accumbens (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.X4XX.0011.R6B.SM.46MWP.1,SRP012682,NA,Brain - Nucleus accumbens (basal ganglia)
SRS524478,Body,Brain,Caudate (basal ganglia),Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.XOTO.0011.R5A.SM.4B657.1,SRP012682,NA,Brain - Caudate (basal ganglia)
SRS408664,Body,Brain,Hippocampus,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.WHSE.0011.R1A.SM.3P5ZK.2,SRP012682,NA,Brain - Hippocampus
SRS408664,Body,Brain,Hippocampus,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.WHSE.0011.R1A.SM.3P5ZK.3,SRP012682,NA,Brain - Hippocampus
SRS408309,Body,Brain,Cerebellum,Adult,Native,,,Adult Tissue,.,Kept,Genotype-Tissue Expression (GTEx) Common Fund Project,,"Lay Description.  The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases.  GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)",GTEX.X4EP.3026.SM.3P5YP.3,SRP012682,NA,Brain - Cerebellum
